screen_name, location, created_at, description
CdnClubVan,Vancouver; BC,Fri Feb 24 00:52:22 +0000 2012,Fostering fellowship among people and encouraging the celebration of Canadian identity.
AndersFalk2,1008 Homer Street Vancouver BC,Thu Aug 04 18:01:47 +0000 2011,
DTESGreenWaste,Vancouver,Tue Dec 07 03:10:03 +0000 2010,We're a social enterprise in #Vancouver’s #DTES. Specializing in #Hoarding #Cleanup; #Junk Removal; #Recycling & #Garbage Pickups across Vancouver; we donate!
PeopleTreeLearn,,Sun Mar 11 04:57:10 +0000 2012,
Katreenaw,,Fri Feb 03 21:39:43 +0000 2012,
mike_schneider_,Tsawwassen British Columbia,Sat Apr 25 01:20:34 +0000 2009,Drupal developer; writer and long time #blogger commenting on life; #politics and lately; #farming; #edu and land use. Opinions and observations are my own.
Green_ByAdera,7488 Byrnepark Walk; Burnaby,Thu Feb 17 17:37:04 +0000 2011,Green is a collection of one; two and three bedroom homes created to promote energy conservation and healthy; sustainable living for families and the community.
NEXTEnviroBC,Burnaby; BC; Canada,Tue Feb 14 07:19:41 +0000 2012,We are specialists in contaminated sites investigation and remediation; based in Burnaby; BC.  
sunflower_sk,,Thu Mar 17 21:08:16 +0000 2011,
urbanracks,Vancouver; Canada,Sun Dec 25 02:25:02 +0000 2011,Urban Racks offers a wide range of innovative bicycle parking solutions and related services throughout North America. 1.888.717.8881
BCConstructionA,Victoria; BC,Wed Feb 29 21:44:03 +0000 2012,Official BCCA Twitter page. Non-profit provincial voice of the construction industry.  Tweeting industry info helping those who build BC.
MovieYearbook,Vancouver,Tue Nov 29 01:10:56 +0000 2011,One man's insane mission to review a theatrically released film a day for an entire year! Reviews posted daily! Fanboy; critic; freelance writer.
Chantel_Dawn,Vancouver CA,Sat Jun 26 06:53:17 +0000 2010,#Tourism Sales&Marketing professional. I have love for Boutique hotels|Travel|Fashion|Restaurants|Communication|Innovation|Goodthings. Smitten with Sinatra 
Senz_Says,Canada,Wed Mar 11 18:48:37 +0000 2009,Work is part of my life. Some are not so fun to do. But important for a healthy safe environment I create for myself. I like been creative in my thinking.
hello_charity,Vancouver,Sat Mar 03 21:46:04 +0000 2012,If you smile to the world;the world will smile to you.
VinciParkCanada,Canada Place; Vancouver,Thu Nov 10 22:51:07 +0000 2011,VINCI Park at Canada Place is part of the world's largest parking corporation; VINCI Park
MMCDAssoc,Vancouver; BC,Mon Aug 17 06:02:01 +0000 2009,We love civil engineering; municipal infrastructure; and all things construction.  MMCD - Your documents of choice for BC infrastructure projects!     
IAMTONY1,Vancouver/London/LA,Sun Mar 04 22:48:56 +0000 2012,CEO blackpointcapitalgroup Sports& fitness fanatic. sun worshiper;Devoted Canucksfan;basketball;ufc. Living in Best Place on Earth. A Proud father♥  
SeaWallAgency,Vancouver; BC - Canada,Sat Mar 03 22:29:02 +0000 2012,Sea Wall Agency
urbngreen,West Coast British Columbia,Thu Jun 30 05:29:13 +0000 2011,I live in New Westminster; British Columbia. I write about activism; alternative education;gardening;art and nature. 
SFUPublicSquare,British Columbia,Tue Jan 10 00:33:35 +0000 2012,
MacCanada,Edmonton; Alberta; Canada,Tue Mar 20 07:32:01 +0000 2007,Links; Thoughts; Discussion; Communication… Tweet!
Divorce_Shop,All over BC,Mon Oct 31 00:25:07 +0000 2011,$295 Joanne's Uncontested Divorce Shop Inc BC and http://.joannesreidealboard.webs.com We donate 10% to God; single mothers and kids.
chelaland,,Sun Apr 19 05:36:26 +0000 2009,World Traveller/Shopaholic/Dreamer/Chip Addict/Environmentalist  
robchantler,Vancouver; BC,Sun Nov 14 23:16:07 +0000 2010,Vancouverite.
SatelEnt,Vancouver; BC; Canada,Tue Aug 23 01:41:27 +0000 2011,Satel Enterprises Ltd. is a software consulting/development company.
VanCentreNDP,Vancouver; BC,Tue Aug 30 07:41:55 +0000 2011,Vancouver Centre New Democrats: we invite you to become a member of the NDP and join us as we support and celebrate the people of Vancouver.
BESTCARSBC,Vancouver Canada,Sat Sep 03 00:30:01 +0000 2011,I'm your needed honest car sale consultant. For best price and service please contact me.    SATISFACTION GUARANTEED     FINANCE - LEASE 
Rocalyne,,Wed Oct 21 01:31:02 +0000 2009,
BCEIA_,Vancouver; BC; Canada,Fri Jun 17 17:47:50 +0000 2011,Most recognized and longest running professional business association dedicated to member companies that operate in the many sectors of environmental business.
GerryTMcGuire,Vancouver;Canada,Sat Jan 17 14:36:10 +0000 2009,Father;entrepreneur;photographer;artist; political pundit and proprietor of A-Ace Limousine Incorporated in Vancouver;BC.  604-961-9123
andrealcaesar,Vancouver,Fri Jun 17 19:33:22 +0000 2011,Passionate Vancouverite. Meetings & Conventions Associate at @myvancouver (LOVES) traveling; people; climbing mountains; wine; trail running; @yyoga & coffee
uprisingbreads,Vancouver,Mon Jan 24 14:11:02 +0000 2011,Baking tasty; whole grain; honey-sweetened bread & goodies for 35 yrs in Vancouver; BC. Two bakery/cafés: 1697 Venables & 3066 W Broadway www.uprisingbreads.com
Paulyy_P,Vancouver,Sun Jul 03 03:39:43 +0000 2011,Peanut butter junkie.
CivlNews,Fraser Valley; BC,Thu Sep 08 18:11:12 +0000 2011,A daily feature on @CIVL_Radio updating listeners and followers on local; national; and global news. Listen at 101.7 FM or www.civl.ca.
SeanThor16,Richmond BC,Sun Apr 26 16:33:03 +0000 2009,
fonikdesign,Vancouver,Mon Oct 11 06:26:55 +0000 2010,1/2 heart of Fonik Design. Web/Graphic Designer. D&B Aficionado. Lover of Life & Grilled Cheese Sandwiches.
KlahowyaVillage,Vancouver; BC; Canada,Mon May 02 15:50:57 +0000 2011,Klahowya Village in Stanley Park is an authentic Aboriginal cultural tourism attraction providing cultural tours; the Spirit Catcher Train Ride and more.
WaiLui,Vancouver; Canada,Fri Jun 19 08:46:26 +0000 2009,The misc ramblings of an up-&-coming Vancouver-based designer on art; architecture; design; music; travel; fashion; food; business; media; technology & culture.
OddballWorkshop,Vancouver; BC,Sat Jan 01 22:30:43 +0000 2011,We make you look good! A Promotions Co. specializing in digital printing: custom tees; stickers; banners; etc. If you can think it we can run with it!
BitCase,Vancouver,Tue Dec 28 23:13:44 +0000 2010,Web Design | Content Management | Ecommerce | Web Hosting | Web Development 
jacsrons,Whitehorse,Fri Sep 10 01:26:26 +0000 2010,UBC journalism student. Explorer. Dancer. Lover of music; food; bikes; scrabble and the North. Former intern @CBCRadio3. Intern @CBCNorth; Whitehorse.
Miss604,Vancouver,Sat Mar 10 21:16:02 +0000 2007,Vancouver blogger; WordPress dev; owner of @sixty4media with @JohnBollwitt & published author. Columnist; world traveler; Canucks fan.
avanbaarsen,Vancouver; BC,Tue Sep 30 20:23:04 +0000 2008,
PL__Web,Vancouver; BC; Canada,Thu Oct 28 23:42:16 +0000 2010,Sharing today's news; tips and tricks in the world of Web Development and Social Media.
Deannaz88,,Sat Apr 18 04:59:37 +0000 2009,
DimitryMorales,ÜT: 49.264358;-123.138574,Wed Aug 05 11:08:49 +0000 2009,Proud father of Princess Olive and world citizen that dabbles in many things to make a positive change in this world.
alittlemoregood,Vancouver; British Columbia,Wed Jun 16 08:40:19 +0000 2010,A Little More Good was founded on one simple idea: promote the good. Profiling ideas; causes; and companies that are making a difference in Vancouver
VisionVancouver,Vancouver; BC,Fri Jan 29 00:10:14 +0000 2010,Committed to ending homelessness; building a green economy; and investing in creativity & innovation. Together we are improving life in Vancouver.
Spennynub,British Columbia; Canada,Wed Feb 25 06:10:35 +0000 2009,@SFUBeedie HR/Marketing student. Love social media; volunteering; music; urban planning and the outdoors. Every day is an opportunity for a new adventure.
waldorfhotel,1489 Hastings; East Vancouver,Thu Jul 08 22:52:25 +0000 2010,After 63 years in business; the Waldorf Hotel has reopened as a multi-venue concept hotel.
GreekDay,Vancouver; BC,Fri May 22 15:07:02 +0000 2009,Sunday June 26th - Vancouver's Largest Enclosed Street Festival www.greekday.com for details 
lisagfisher,Vancouver; BC,Wed Nov 19 18:06:54 +0000 2008,Brand Manager at UBC; mom; grad student; hockey fan. This is my personal account.
rj_aquino,Vancouver,Tue Apr 17 02:50:18 +0000 2007,Fresh Father. Roots In Reason; Branches In Diplomacy; Leaves You Breathless. Manila Original. Filipino. Canadian.
SUVCC,Vancouver,Mon Sep 13 22:33:01 +0000 2010,Students' Union of Vancouver Community College  Local 73 of the Canadian Federation of Students
nredmond,Vancouver; BC,Fri Sep 07 13:52:44 +0000 2007,Interactive Marketing & UX Manager. ♥ design; digital media; innovation; storytelling; analytics; film; photos; music; travel; environment;  outdoors & sports
slowfade,Vancouver; BC Canada,Sat Jan 27 23:22:06 +0000 2007,Love all (well most) things tech; music and photography
totochow,Richmond; BC,Thu Apr 15 06:36:52 +0000 2010,
climatesmart,Vancouver; BC,Tue Jan 20 20:54:25 +0000 2009,Cut costs! Cut carbon! We empower & enable small & mid-sized businesses to strengthen their businesses & build a more resilient economy. Tweets from Beth&Lloyd.
orcasislandtv,Eastsound; WA,Thu May 27 01:47:43 +0000 2010,Send tips and information to Orcas Island TV! OI TV - Local Events; Sports; Fun from Orcas Island.. 
BigBrosOnline,Lower Mainland,Thu Jun 11 16:56:40 +0000 2009,Vancouver-based charity that offers friendship-based mentoring programs and volunteer opps for men and women. 
amygibson,Vancouver,Tue Aug 12 14:07:05 +0000 2008,East Van resident; graphic designer; photographer knitter; curler
lizsperandeo,Vancouver; B.C.,Fri Feb 27 16:54:51 +0000 2009,PR Manager promoting tourism + hospitality for @SpectacularInk. @DFSVancouver advocate + Board Member. Brunch addict; travel lover and loud laugher. 
djdimitri_gr,Vancouver;  Canada,Mon Mar 23 08:12:32 +0000 2009,international Dj - Promoter - Music Programer 
OutSmarts,British Columbia,Fri Mar 09 18:40:06 +0000 2007,Smart Internet Marketing.   
KeithIppel,Vancouver,Tue Feb 16 20:24:53 +0000 2010,@Invoke @CauseAffect @BikeshareBC @Foodee - Career ADD & loving it
EricGWan,Vancouver; Canada,Sat Feb 07 08:14:01 +0000 2009,Theology; Evangelism; Civil Engineering; Planning/Transportation; Land Use; Rowhomes; Cycling; Hiking; Traveling; China; Indie Folk Music; Farmer's Market.
TripsForKidsVan,Vancouver,Tue Apr 27 16:01:46 +0000 2010,TFKVan is a registered non-profit organization that aims to make a positive impact on the way at-risk youth view their community; the environment & themselves. 
VanObserver,Vancouver; BC,Sat Nov 15 18:15:22 +0000 2008,Journalism matters.
RobCottingham,Vancouver,Tue Oct 24 04:25:30 +0000 2006,Social media enabler (@socialsignal).  Noise to Signal cartoonist (@ntos). Humorist. Speaker.  Sweetie of @awsamuel.  Believer in the wide-open web.
Vida_Jay,Vancouver; BC Canada,Mon Jan 04 08:30:34 +0000 2010,Student of the human condition; pilgrim in search of the heart of life where justice and mercy meet; Lutheran pastor working as a healthcare chaplain.
DuncanWlod,Vancouver,Wed Jun 09 16:41:14 +0000 2010,Executive Director of Sustainable SFU. Tweeting about the the climate; energy; cities; politics; the planet; and democracy. 
ashiqahamed,Vancouver; Canada,Tue Mar 11 22:37:29 +0000 2008,
energy_matters,Region of Peel; Canada,Tue Feb 02 23:09:35 +0000 2010,Leading Public Sector Energy Management Conference - May 28 & 29; 2012 @ The Toronto Congress Centre; Toronto; ON Canada.    
sengsengsavanh,Richmond/Vancouver,Wed Oct 14 16:50:53 +0000 2009,Husband; father; designer; educator (ID Director @ AIV) & columnist. Passionate about life-long learning; good design; good food; travelling and photography.
anthonyctaylor,Vancouver Canada,Sun May 10 17:14:47 +0000 2009,Working on turning a BBA into an MBA. I help small business owners grow. Sports; food; nightlife and language make my life fun. Go bears!
aimeearama,Vancouver,Thu Mar 05 19:40:13 +0000 2009,eat; sleep; breathe: tourismmmmmmmm   : rarely linear
