screen_name, location, created_at, description
onlyjaypee,Surrey BC,Mon Oct 05 00:35:37 +0000 2009,Filipino Adolescent at Vancouver BC. Follow my daily struggles of procrastination!
SaveMorePlumbin,Vancouver & Surrey BC,Thu Feb 12 19:22:31 +0000 2009,We offer a wide array of bathroom; kitchen & lighting products with showrooms in Vancouver & Surrey. Luxury you can afford!
geekmybride,Vancouver; British Columbia,Wed Mar 11 18:20:08 +0000 2009,photographer; geek gamer (PC; Wii); for-fun writer; and musician who is seriously addicted to Dragon Age: Origins (like; seriously).
BCCollisions,Burnaby,Mon Apr 19 19:28:57 +0000 2010,Serving Burnaby and the lower mainland with quality autobody and collision repairs since 1962. BC Collisions is a ICBC Car Shop Valet and CDI preferred.
yurechko,Vancouver; Canada,Tue Jan 30 01:16:25 +0000 2007,Internet Marketer. Growth Hacker. Live and breathe Search/Social.
michellehsing,Vancouver; BC,Wed Oct 27 04:56:00 +0000 2010,
mykleludvigsen,Vancouver; BC,Tue Aug 11 01:05:40 +0000 2009,Director of Communications for the College of Pharmacists of BC. Opinions are my own; not necessarily those of my employer.
hockeyfan35,Vancouver,Fri Jul 03 06:20:33 +0000 2009,
Miss604,Vancouver,Sat Mar 10 21:16:02 +0000 2007,Vancouver blogger; WordPress dev; owner of @sixty4media with @JohnBollwitt & published author. Columnist; world traveler; Canucks fan.
DimitryMorales,ÜT: 49.264358;-123.138574,Wed Aug 05 11:08:49 +0000 2009,Proud father of Princess Olive and world citizen that dabbles in many things to make a positive change in this world.
SukhrajB,Vancouver; Canada,Fri Jan 29 09:01:01 +0000 2010,A #photography enthusiast (www.flickr.com/SukhrajB) and a Co-founder of @SpeakNowTV
SchintzCKNW980,Vancouver,Fri Nov 19 01:18:10 +0000 2010,CKNW Assistant News Director. Politics. Movies. Flyers.   
VisionVancouver,Vancouver; BC,Fri Jan 29 00:10:14 +0000 2010,Committed to ending homelessness; building a green economy; and investing in creativity & innovation. Together we are improving life in Vancouver.
rj_aquino,Vancouver,Tue Apr 17 02:50:18 +0000 2007,Fresh Father. Roots In Reason; Branches In Diplomacy; Leaves You Breathless. Manila Original. Filipino. Canadian.
SUVCC,Vancouver,Mon Sep 13 22:33:01 +0000 2010,Students' Union of Vancouver Community College  Local 73 of the Canadian Federation of Students
DilbarKang,Vancouver; Canada,Thu Dec 17 05:01:52 +0000 2009,Investigative reporter with omnibc; first daily Punjabi language news cast in Canada that airs live Monday to Friday at 9pm. Opinions here are my own.
LindseyLe,Vancouver; British Columbia,Wed Mar 17 07:39:22 +0000 2010,
d_vaz,,Wed Mar 31 06:14:44 +0000 2010,I tweet about random things that happen and random thoughts that i have.  http://randomandunnewsworthy.wordpress.com/  http://whatarewewatching.wordpress.com/
jeffsumm,ÜT: 49.202722;-122.914922,Sat Feb 24 22:22:31 +0000 2007,
alexmiller,Surrey; B.C.,Mon Jan 29 07:44:02 +0000 2007,Student and Web Developer
ben_nguyen,Vancouver,Tue Jul 15 00:12:18 +0000 2008,
ptailor,Vancouver,Sat Jun 13 04:11:19 +0000 2009,
vector,密爾沃基,Sun Feb 25 03:27:45 +0000 2007,illustrator/designer; 3D/mograph noob; creator of stuff both free & to the end of acquiring filthy lucre; idiot savant sans savantism
totochow,Richmond; BC,Thu Apr 15 06:36:52 +0000 2010,
robin_in_a_tree,Vancouver Canada,Tue Aug 24 00:39:58 +0000 2010,Instructor; scientist and outdoor enthusiast... not necessarily in that order.
Deemz816,,Sun Oct 04 16:33:16 +0000 2009,i drink too much coffee and i laugh way too loud.
10thToTheFraser,New Westminster,Wed Oct 22 02:47:23 +0000 2008,A passionately local blog about life in New Westminster. Hyack the Web; Baby!
tmk0715,大阪府河内長野市,Sun Feb 28 01:59:30 +0000 2010,45歳の会社員です。北海道（特に札幌）とカナダ（特にVancouver）が大好きで、鉄道（主に南海電車とVancouverのSkyTrain）、飛行機（旅客機）、旅行、ドライブ、スポーツ観戦（主にプロ野球とアイスホッケー）、音楽鑑賞（ジャンル問わず）等々多趣味です。
778Yvonne,Vancouver,Wed Apr 15 18:21:51 +0000 2009,I like the Canucks; music; salad greens and mochas. The higher the heel; the closer to God
johnbollwitt,Vancouver; B.C.,Sat Mar 03 01:47:15 +0000 2007,Blogger; podcaster; photographer; co-founder of @sixty4media; husband to @miss604; and radio broadcast engineer/I.T tech (opinions are mine; not of employer)
xxcaro,Metro Vancouver; BC; Canada,Wed Feb 06 12:38:24 +0000 2008,Geek: babies; computers; plants; cats; CBC; dancing; natural parenting.
tw33tr,Vancouver; BC; Canada,Mon Mar 16 23:42:34 +0000 2009,Tweet-er.
EricGWan,Vancouver; Canada,Sat Feb 07 08:14:01 +0000 2009,Theology; Evangelism; Civil Engineering; Planning/Transportation; Land Use; Rowhomes; Cycling; Hiking; Traveling; China; Indie Folk Music; Farmer's Market.
no_robots,Vancouver; BC,Wed Nov 05 02:08:21 +0000 2008,teleportation device / time machine sound engineer
joannajoyceh,Vancouver; BC,Sat Dec 05 05:48:56 +0000 2009,Wife; sister; aunt; military brat; and pop culture aficionado.  Also lover of dogs.
kaler,Vancouver; BC.,Thu Nov 22 20:06:54 +0000 2007,Those who say it can't be done shouldn't interrupt the people doing it.    (Topics: iPhone; mobile; fashion; motorcycles; hip hop; Vancouver; Canucks.)
VanObserver,Vancouver; BC,Sat Nov 15 18:15:22 +0000 2008,Journalism matters.
KeananKipp,,Mon May 31 22:40:14 +0000 2010,News writer for Global BC; Broadcast Journalist; self-proclaimed news junkie and an Island Girl born and raised. Anything I tweet is my own opinion.
pattism,vancouver,Fri Mar 13 14:30:49 +0000 2009,GM of Edelman Vancouver; the city's largest PR firm. Working hard at being a decent human being. Never short of opinions and never shy to share them.
ann_luu,Vancouver,Wed Jan 13 01:19:25 +0000 2010,CTV Morning Live - Traffic Specialist.    
AdrienneJanelle,iPhone: 49.280300;-123.137505,Tue Jul 07 22:59:13 +0000 2009,I felt impotent and out of control. Which I really; really hate. I had to find sanctuary in a place where I could gather my thoughts and regain my strength...
lyteforce,Richmond BC,Tue Feb 05 19:40:52 +0000 2008,A biased sports fan who's looking for 1.21 gigawatts of power. Find me at http://leftcoastbydesign.ca/ & my opinions do not reflect that of my employer. Word!
msjenlee,Vancouver,Wed Apr 01 15:55:34 +0000 2009,When not working for a large Canadian lawfirm doing IT hardware support; I enjoy making yarn; gardening; and being one of the cheapest people alive.
anthonyctaylor,Vancouver Canada,Sun May 10 17:14:47 +0000 2009,Working on turning a BBA into an MBA. I help small business owners grow. Sports; food; nightlife and language make my life fun. Go bears!
roboman51,Vancouver,Mon Jun 22 07:03:08 +0000 2009,
CameronBJohnson,Vancouver; B.C.,Mon Apr 27 21:03:34 +0000 2009,Editor; book reviewer; and wordslinger. I likes me a good story.
PreetLady,49.276831;-123.01023,Tue Jan 19 05:59:15 +0000 2010,Born and Raised In Vancity; East indian (Dont let the pic fool you) 5'5 brown eyes; smile like the sunrise!
neilnijjar,Vancouver,Wed Feb 25 19:31:56 +0000 2009,Hockey and Sports
mandablemac,vancouver bc | canada,Thu Jun 11 05:05:10 +0000 2009,Group Marketing + Communications at Wesgroup Properties. An observer of all things and captain of the road less traveled.
m_candy,Vancouver & Victoria; B.C. ,Wed Jan 23 18:52:11 +0000 2008,Day-of-Wedding Coordinator at @WestwoodPlateau. CMNS Account Exec. Always on the Hunt for Inspiration and Adventure. In the process of transforming my life. 
mm75,New Westminster; BC,Thu May 29 05:39:24 +0000 2008,Austrian turned Vancouverite; computer geek (Un*x rules); traveller; foodie
kneoh,Vancouver; BC,Sat Jan 03 22:50:21 +0000 2009,Geek. Foodie. Project coordinator. Leopard gecko owner. Canucks fan. Solutions generator. Ubuntu user. Allergic to most nuts and fresh fruit.
thestevequilala,EAST VAN,Wed Jun 25 17:33:10 +0000 2008,Award-winning designer. Aspiring copywriter. UBC student. Apple fanboy. Canucks and Habs fan. Offensive defenseman. Cat person.
matwilcox,Toronto,Tue Oct 21 17:14:28 +0000 2008,Media; news; business; entrepreneur; social media enthusiast. 2008 & 2009 Canada's Most Powerful Women: Top 100. I'm a minimalist with a whole lot of excessive.
