screen_name, location, created_at, description
onlyjaypee,Surrey BC,Mon Oct 05 00:35:37 +0000 2009,Filipino Adolescent at Vancouver BC. Follow my daily struggles of procrastination!
ecovitagroup,ECUADOR,Fri May 20 14:41:51 +0000 2011,Hostería Camping Orgánico; Organizadora del Programa Rescatemos Nuestra Tierra By Ecovita; Portal comercializador de productos verdes 
Green_ByAdera,7488 Byrnepark Walk; Burnaby,Thu Feb 17 17:37:04 +0000 2011,Green is a collection of one; two and three bedroom homes created to promote energy conservation and healthy; sustainable living for families and the community.
MMCDAssoc,Vancouver; BC,Mon Aug 17 06:02:01 +0000 2009,We love civil engineering; municipal infrastructure; and all things construction.  MMCD - Your documents of choice for BC infrastructure projects!     
kakoiijing,Planet Earth,Sun Aug 02 09:33:20 +0000 2009,
GerryTMcGuire,Vancouver;Canada,Sat Jan 17 14:36:10 +0000 2009,Father;entrepreneur;photographer;artist; political pundit and proprietor of A-Ace Limousine Incorporated in Vancouver;BC.  604-961-9123
OddballWorkshop,Vancouver; BC,Sat Jan 01 22:30:43 +0000 2011,We make you look good! A Promotions Co. specializing in digital printing: custom tees; stickers; banners; etc. If you can think it we can run with it!
michellehsing,Vancouver; BC,Wed Oct 27 04:56:00 +0000 2010,
tkask,ÜT: 49.28499;-123.116514,Mon Dec 22 22:39:57 +0000 2008,
PL__Web,Vancouver; BC; Canada,Thu Oct 28 23:42:16 +0000 2010,Sharing today's news; tips and tricks in the world of Web Development and Social Media.
VisionVancouver,Vancouver; BC,Fri Jan 29 00:10:14 +0000 2010,Committed to ending homelessness; building a green economy; and investing in creativity & innovation. Together we are improving life in Vancouver.
Applebee_08,,Fri Nov 12 05:05:06 +0000 2010,
jeffsumm,ÜT: 49.202722;-122.914922,Sat Feb 24 22:22:31 +0000 2007,
shawzepe,Vancouver,Thu Jun 12 23:19:07 +0000 2008,News editor and local sports TV maker extraordinaire.   ~ All tweets are my own and do not reflect my employers even a little ~
climatesmart,Vancouver; BC,Tue Jan 20 20:54:25 +0000 2009,Cut costs! Cut carbon! We empower & enable small & mid-sized businesses to strengthen their businesses & build a more resilient economy. Tweets from Beth&Lloyd.
meyerjason007, Toronto; Canada,Thu Jul 01 02:13:58 +0000 2010,Cyclist; part-time traveler and full-time budding HR aficionado
Deemz816,,Sun Oct 04 16:33:16 +0000 2009,i drink too much coffee and i laugh way too loud.
EricGWan,Vancouver; Canada,Sat Feb 07 08:14:01 +0000 2009,Theology; Evangelism; Civil Engineering; Planning/Transportation; Land Use; Rowhomes; Cycling; Hiking; Traveling; China; Indie Folk Music; Farmer's Market.
VanObserver,Vancouver; BC,Sat Nov 15 18:15:22 +0000 2008,Journalism matters.
samd,Vancouver,Fri Sep 01 03:13:15 +0000 2006,Designer.
lyteforce,Richmond BC,Tue Feb 05 19:40:52 +0000 2008,A biased sports fan who's looking for 1.21 gigawatts of power. Find me at http://leftcoastbydesign.ca/ & my opinions do not reflect that of my employer. Word!
NtQtSouthSurrey,ÜT: 49.102166;-122.772477,Wed Jul 01 18:52:00 +0000 2009,Online community resource for all things Sullivan Station / Panorama Village / Southeast Newton area of Surrey; BC.  We love this place!  Jen & Fran.
samlin86,Vancouver,Thu Oct 29 06:21:48 +0000 2009,photographer. software developer. traveler. entrepreneur. badminton player.
valriw,,Thu Dec 18 03:52:58 +0000 2008,I volunteer; I manage volunteers in the arts; I love volunteers! People are empowered by giving to something they support and believe in. 
roboman51,Vancouver,Mon Jun 22 07:03:08 +0000 2009,
pennamite,Ladner; BC,Thu Jun 18 20:10:29 +0000 2009,Marshwiggle
UBCLawLib,Vancouver; B.C.; Canada,Thu Dec 18 18:05:05 +0000 2008,The University of British Columbia Law Library supports the study; reference; & research needs of the students & faculty of the Faculty of Law & UBC community.
speakerss,48.48062;-123.321298,Thu Jan 15 21:31:17 +0000 2009,The stories and information posted here are artistic works of fiction and falsehood. Only a fool would take anything posted here as fact.
jalinkletter,Vancouver; BC; Canada,Wed Oct 29 17:01:09 +0000 2008,Prospect researcher; community organizer; mother; occasional wisecracker
erikoarai,,Sat Jul 25 22:43:35 +0000 2009,Mountain lover working with non-profits & businesses creating social good. Tweets about conservation; socially conscious business practice; science & education.
SkyTrainLady,Burnaby; BC; Canada,Sun Dec 21 18:39:05 +0000 2008,I love talking about trains; transit & my hometown; Vancouver. My title: Communications Liaison; BC Rapid Transit Co. For transit service info folo @TransLink. 
DalethH,,Wed Oct 28 01:31:10 +0000 2009,
ScienceWorldTR,Vancouver; B.C.,Tue Aug 18 20:28:25 +0000 2009,Science World British Columbia Teacher Resources - tweets moderated by Kate Henderson; science teacher. Science World is also tweeting from @scienceworldca 
jdcasa,Vancouver,Sat Apr 26 00:06:57 +0000 2008,Italian-Canadian mashup of food; travel; old Calabria and the wisdom of nonnas. Social media for good not evil. And same-sex immigration pioneer.
dennisworld,Vancouver; BC,Fri Mar 23 21:38:00 +0000 2007,Everything green; Traveling; Mobile Internet; Photography; Hiking; Ultimate; Snowboarding; Opportunistic vegetarian; Sailing; Biking; Diving; Audiobooks
DennisTT,between 127.0.0.1 and a cloud,Tue Dec 02 01:28:32 +0000 2008,software developer (web/mobile). core team member @sfxyyam. council member @successylm. former developer @mybbgroup. transit enthusiast.
thebuzzer,Burnaby; BC,Tue Jan 13 21:25:49 +0000 2009,I'm Robert Willis; editor of the Buzzer: Vancouver's free transit newsletter since June 2; 1916. (Follow @translink for key transit updates!)
paulhillsdon,Vancouver; Canada,Thu Mar 08 10:32:50 +0000 2007,Architect of the future. Tweeting live since 2007. 
chatkiller,,Wed Mar 11 18:06:34 +0000 2009,I'm the kid you never see 
vpsn,Vancouver; BC,Sun Apr 26 23:38:09 +0000 2009,The Vancouver Public Space Network is a grassroots; volunteer collective engaging in advocacy; outreach & education on public space issues in Vancouver. 
MichaelSSU,Vancouver; BC,Mon Jul 11 17:02:29 +0000 2011,Big fan of Social Media; Webinars; QR codes; Food; and Vancouver!
CamaraEcuaCanad,Guayaquil - Ecuador,Wed Jun 01 23:11:37 +0000 2011,La Cámara de Comercio Ecuatoriano Canadiense de Guayaquil es una organización de derecho privado; sin fines de lucro; conformada por compañias y particulares. 
BossSamantha,burnaby bc,Wed Aug 03 22:57:28 +0000 2011,
MicroMixUSA,,Tue Feb 07 13:05:32 +0000 2012,Ergofit USA is pleased to introduce the Ergofit MicroMix product line; a powerful tool in environmental remediation and agricultural biotechnology. 
sarcasticommute,On the bus; and in traffic,Mon Feb 13 19:05:59 +0000 2012,I share the frustrations of the daily commuters
TracyatEclipse,Vancouver; Canada,Fri Jan 20 22:56:26 +0000 2012,Eclipse designed MinePoint; an ERP Software specifically for the mining industry built on the Microsoft platform.
AragonProperty,Vancouver,Wed Mar 25 18:32:23 +0000 2009,Since 1988 Aragon Properties has completed over 2400 new homes; constructed landmark residences and created communities for generations to come. 
Alec_McLeod,North Vancouver,Fri Jan 14 09:55:59 +0000 2011,Studying Cognitive Science at SFU... love exercise; music; guitar; tech; potatoes... love developing java; python; obj-C... and web design; html; css.
RCinsure,Beautiful British Columbia,Thu Aug 04 04:30:10 +0000 2011,BIG I ~ little i ~ any i... Insurance info & premium service i250.ca - i604.ca - i778.ca ~ GVRD Mobile Service: 778-836-8770 or BBM 21B6D7FD (RC is @Carter_CAN)
heather__welsh,Vancouver,Sun Aug 16 12:37:10 +0000 2009,An English girl in Vancouver. Freelance journalist. Music; food and listography fanatic. http://tweepoppy.tumblr.com/
andralouie,New Westminster; BC,Sat Oct 04 05:22:43 +0000 2008,Community arts enthusiast & Communications professional in New Westminster; BC; love to cook &  has the best job of being a mama to sweet Georgia Spring
gpstrackit,,Tue Jan 12 17:08:04 +0000 2010,GPSTrackit.com is a leading North American supplier of GPS tracking; fleet management and location-based services for business solutions.
