screen_name, location, created_at, description
DTESGreenWaste,Vancouver,Tue Dec 07 03:10:03 +0000 2010,We're a social enterprise in #Vancouver’s #DTES. Specializing in #Hoarding #Cleanup; #Junk Removal; #Recycling & #Garbage Pickups across Vancouver; we donate!
ecovitagroup,ECUADOR,Fri May 20 14:41:51 +0000 2011,Hostería Camping Orgánico; Organizadora del Programa Rescatemos Nuestra Tierra By Ecovita; Portal comercializador de productos verdes 
BCConstructionA,Victoria; BC,Wed Feb 29 21:44:03 +0000 2012,Official BCCA Twitter page. Non-profit provincial voice of the construction industry.  Tweeting industry info helping those who build BC.
SFUPublicSquare,British Columbia,Tue Jan 10 00:33:35 +0000 2012,
KVinBC,Vancouver,Mon Mar 14 05:17:45 +0000 2011,A communications specialist with a passion for Great Big Sea; Québec cheeses; good wine and public service. Not necessarily in that order.
OddballWorkshop,Vancouver; BC,Sat Jan 01 22:30:43 +0000 2011,We make you look good! A Promotions Co. specializing in digital printing: custom tees; stickers; banners; etc. If you can think it we can run with it!
caitlincramb,ÜT: 49.047985;-122.785734,Sat Oct 17 02:35:02 +0000 2009,Caitlin Cramb; REALTOR® w/ Homelife Benchmark Realty Corp.(W.R.) 1;1952 152nd St; Surrey 604.531.1111 Commercial RE background - focus: new development.   
climatesmart,Vancouver; BC,Tue Jan 20 20:54:25 +0000 2009,Cut costs! Cut carbon! We empower & enable small & mid-sized businesses to strengthen their businesses & build a more resilient economy. Tweets from Beth&Lloyd.
EricGWan,Vancouver; Canada,Sat Feb 07 08:14:01 +0000 2009,Theology; Evangelism; Civil Engineering; Planning/Transportation; Land Use; Rowhomes; Cycling; Hiking; Traveling; China; Indie Folk Music; Farmer's Market.
TripsForKidsVan,Vancouver,Tue Apr 27 16:01:46 +0000 2010,TFKVan is a registered non-profit organization that aims to make a positive impact on the way at-risk youth view their community; the environment & themselves. 
bittersweetdb,Vancouver; usually,Mon Feb 09 23:43:22 +0000 2009,it's me; db
DuncanWlod,Vancouver,Wed Jun 09 16:41:14 +0000 2010,Executive Director of Sustainable SFU. Tweeting about the the climate; energy; cities; politics; the planet; and democracy. 
mandablemac,vancouver bc | canada,Thu Jun 11 05:05:10 +0000 2009,Group Marketing + Communications at Wesgroup Properties. An observer of all things and captain of the road less traveled.
iheartcities,Vancouver; BC,Wed Jun 17 18:55:53 +0000 2009,urban enthusiast; public engagement specialist; sustainability nerd; music lover & knitter. #publicengmt
BoffoProperties,Vancouver; BC,Fri Nov 20 21:23:09 +0000 2009,Multi-disciplined developer founded on family principles. Brother/sister duo leading with honesty; integrity; hard work. Tweets by @danielboffo + @marissa_elise
ncyvr,Vancouver; BC,Thu Jan 22 23:02:46 +0000 2009,Law; Mount Pleasant; and the occasional worthy pint.
Stv,Vancouver,Fri Dec 01 23:43:25 +0000 2006,Partner & Technical Lead at Pencilneck Software. Dad; comics-nerd; indie-music hound; ultimate player. ThinkCity Board Member.  I AM NOT A TV STATION!
BobRansford,Vancouver Canada,Tue Jan 05 20:05:26 +0000 2010,Communications;public affairs & urban development specialist at COUNTERPOINT Communications Inc.New urbanist designer and writer.Steveston Canada resident.   
ubcacttranslab,Vancouver; BC,Tue Jan 19 21:50:44 +0000 2010,news; ideas; and updates from the ubc-bombardier active transportation lab.
ScienceWorldTR,Vancouver; B.C.,Tue Aug 18 20:28:25 +0000 2009,Science World British Columbia Teacher Resources - tweets moderated by Kate Henderson; science teacher. Science World is also tweeting from @scienceworldca 
bc_living,Vancouver; BC; Canada,Tue Sep 16 23:32:58 +0000 2008,The voice of bcliving; exploring the lifestyles and interests of Metro Vancouver and the province of British Columbia.
SauderISIS,Vancouver; BC,Tue Apr 07 20:29:17 +0000 2009,ISIS; Sauder School of Business; UBC.   'Advancing social innovation and sustainability’ 
MikeKlassen,Vancouver BC Canada,Sun Oct 12 17:54:52 +0000 2008,Writer; urbanist; husband; dad; community guy; gardener; wine lover. Full bio http://bit.ly/uELZrP
Jesswakeman,Vancouver; Canada,Tue Mar 10 23:04:55 +0000 2009,I'm into music; tech; marketing; & online brand strategy. Oh and I work in marketing at @HootSuite
stephenhui,Vancouver,Thu Jul 31 23:40:16 +0000 2008,Web editor and technology editor at the Georgia Straight. Email shui@straight.com. http://www.straight.com/
envirodefence,Canada,Tue Oct 27 15:51:19 +0000 2009,Environmental Defence challenges; and inspires change in government; business and people to ensure a greener; healthier and prosperous life for all.
CWFMrobson,Vancouver British Columbia,Thu Jul 17 18:08:20 +0000 2008,
ride2rio,Vancouver; BC,Sat Dec 17 19:11:19 +0000 2011,@NaomiDevine - I'm riding my bike (+ train; etc) 11 200 km from Vancouver to Rio+20 from February to June 2012. Follow my journey and share with others here. 
CamaraEcuaCanad,Guayaquil - Ecuador,Wed Jun 01 23:11:37 +0000 2011,La Cámara de Comercio Ecuatoriano Canadiense de Guayaquil es una organización de derecho privado; sin fines de lucro; conformada por compañias y particulares. 
GILibertywine,Granville Island Vancouver,Tue Jun 16 21:58:40 +0000 2009,Liberty Wine on Granville Island; worth a visit!
savestpauls,,Sat Feb 14 18:54:49 +0000 2009,
Horizonlsc,4104 232nd Street Langley; BC ,Tue Dec 07 17:47:54 +0000 2010,Horizon provides outstanding outdoor environments throughout the Lower Mainland.  Horizon specializes in both residential and commercial installations.
eco_svc,Vancouver; Canada,Thu Jul 21 17:19:28 +0000 2011,Mobile waterless fleet wash services and residential buildings in #Vancouver.  Saved over 1;000;000+ Litres of drinking #water so far!
AragonProperty,Vancouver,Wed Mar 25 18:32:23 +0000 2009,Since 1988 Aragon Properties has completed over 2400 new homes; constructed landmark residences and created communities for generations to come. 
