screen_name, location, created_at, description
SFUPublicSquare,British Columbia,Tue Jan 10 00:33:35 +0000 2012,
VisionVancouver,Vancouver; BC,Fri Jan 29 00:10:14 +0000 2010,Committed to ending homelessness; building a green economy; and investing in creativity & innovation. Together we are improving life in Vancouver.
blurfus,Burnaby; British Columbia CA,Thu Mar 05 07:16:17 +0000 2009,Web Developer; runner; Bodyboarder; Father of Two Amazing Kids; and Living in Canada - http://about.me/blurfus
EricGWan,Vancouver; Canada,Sat Feb 07 08:14:01 +0000 2009,Theology; Evangelism; Civil Engineering; Planning/Transportation; Land Use; Rowhomes; Cycling; Hiking; Traveling; China; Indie Folk Music; Farmer's Market.
VanObserver,Vancouver; BC,Sat Nov 15 18:15:22 +0000 2008,Journalism matters.
DuncanWlod,Vancouver,Wed Jun 09 16:41:14 +0000 2010,Executive Director of Sustainable SFU. Tweeting about the the climate; energy; cities; politics; the planet; and democracy. 
iheartcities,Vancouver; BC,Wed Jun 17 18:55:53 +0000 2009,urban enthusiast; public engagement specialist; sustainability nerd; music lover & knitter. #publicengmt
canadamais,Vancouver Canada,Thu Feb 23 05:09:24 +0000 2012,Estudar inglês em Vancouver / Canadá #intercambio - #studyabroad #vancouver #canada
climatetoolkit,British Columbia,Tue Nov 01 03:11:25 +0000 2011,Climate Solutions. Better BC Communities.
HSRecycling,Port Coquitlam; BC,Fri May 27 15:57:03 +0000 2011,At Happy Stan’s Recycling; we take care of mother earth. Happy Stan’s Recycling is your one stop shop for all your recycling needs.
thetransitfan,Vancouver,Thu Aug 27 00:58:39 +0000 2009,John Calimente - writer; TransitFan column; Spacing Vancouver Magazine. Mass transit; biking; walking; transit integrated communities + multi-modal urban life.
coromotodiaz,Vancouver; BC,Fri Jun 12 17:19:49 +0000 2009,Coromoto Diaz is a Venezuelan Graphic + Web Designer based in Vancouver; Canada.
Mary_Augusto,Vancouver/Canadá,Sun Jan 10 15:05:50 +0000 2010,Brasileira vivendo em Vancouver; estudante de Ger de Projetos; formada em ADM; consultora de intercambio; apaixonada por fotografias e louca por viagens!!!
KathrynDandyk,Vancouver; BC,Fri Jan 06 03:54:30 +0000 2012,
RUNVAN_rdjordan,Vancouver; BC,Thu Dec 15 01:05:15 +0000 2011,Race Director | Vancouver International Marathon Society |   41st BMO Vancouver Marathon | May 6 2012 |  Cyclist w/ a running problem | Community Advocate 
gwinterbottom,Vancouver;BC;Canada,Tue Sep 02 23:31:09 +0000 2008,Thinking about cities;sustainability & photography while cycling everywhere and enjoying good food. 
AlanaMarrington,Kelowna BC Canada,Sun Nov 06 17:24:21 +0000 2011,Medical accomodations; flex unit design; sale & rentals units; services across from Kelowna (UBC) Hospital.Work with agencies & non profits 1000+ ppl support 
AlexandriaMitch,Vancouver,Tue May 26 23:48:41 +0000 2009,Leader; Speaker;Global Citizen.  I work in media; advocacy; and much in between.
AnthonyNSmith,Vancouver; BC,Wed Aug 18 09:17:37 +0000 2010,Data visualization expert passionate about human health and environmental sustainability.
BoardofTrade,Vancouver,Mon Aug 04 19:43:33 +0000 2008,The official account of The Vancouver Board of Trade — Western Canada's largest; most active; most influential business organization. Tweets by @greghoekstra.
DLaurieBF,Vancouver; BC Canada,Wed Apr 29 06:05:29 +0000 2009,
MaureenHealey,,Fri Oct 21 00:16:56 +0000 2011,
marco_aquila,British Columbia; Canada,Mon Dec 14 20:29:57 +0000 2009,
ThinkVanCity,,Wed Oct 05 21:23:35 +0000 2011,
PlaceSpeak,Vancouver,Sat Jan 08 01:07:43 +0000 2011,PlaceSpeak is a location-based consultation platform that connects citizens to local issues. Claim your place. Speak your mind. Most tweets from @YuriArtibise.
Garossino,Vancouver,Tue Aug 23 03:10:24 +0000 2011,Sandy Garossino on civic affairs. Sandy ran as an Independent candidate for Vancouver City Council in 2011.    
