screen_name, location, created_at, description
thelasource,Vancouver; BC; Canada,Thu Nov 12 00:31:48 +0000 2009,The Source/ La Source Newspaper is a Vancouver bilingual newspaper. It encourages new ideas and ways of thinking through reporting on arts and diversity. 
hill_zane,Vancouver; BC,Thu May 05 11:20:00 +0000 2011,Living in #Vancouver BC. Interested in all things #urban activation and  #sustainability. 
periodpanties,Vancouver; BC,Fri Jan 06 06:11:26 +0000 2012,Nail polish and too much alone time.
GerryTMcGuire,Vancouver;Canada,Sat Jan 17 14:36:10 +0000 2009,Father;entrepreneur;photographer;artist; political pundit and proprietor of A-Ace Limousine Incorporated in Vancouver;BC.  604-961-9123
ThunderVoiceDT,,Mon Nov 22 06:44:49 +0000 2010,
DimitryMorales,ÜT: 49.264358;-123.138574,Wed Aug 05 11:08:49 +0000 2009,Proud father of Princess Olive and world citizen that dabbles in many things to make a positive change in this world.
TanishaVdburg,,Thu Jun 10 23:09:34 +0000 2010,
ArtsyDartsy,Vancouver,Mon May 11 19:01:18 +0000 2009,
VanObserver,Vancouver; BC,Sat Nov 15 18:15:22 +0000 2008,Journalism matters.
RobsonStreet,Robson Street; Vancouver; BC,Thu Feb 26 19:51:38 +0000 2009,Robson Street is Vancouver's most famous shopping street set in the heart of downtown Vancouver. Follow to be updated on happenings of the street!
MikeKlassen,Vancouver BC Canada,Sun Oct 12 17:54:52 +0000 2008,Writer; urbanist; husband; dad; community guy; gardener; wine lover. Full bio http://bit.ly/uELZrP
stephenhui,Vancouver,Thu Jul 31 23:40:16 +0000 2008,Web editor and technology editor at the Georgia Straight. Email shui@straight.com. http://www.straight.com/
vpsn,Vancouver; BC,Sun Apr 26 23:38:09 +0000 2009,The Vancouver Public Space Network is a grassroots; volunteer collective engaging in advocacy; outreach & education on public space issues in Vancouver. 
homelessaction,Metro Vancouver; BC Canada,Wed Jun 24 00:57:42 +0000 2009,Greater Vancouver Regional Steering Committee on Homelessness
kevinmlam,Vancouver; Canada,Sat Feb 14 02:22:13 +0000 2009,
LMoffatt,Vancouver,Sun Apr 18 19:33:54 +0000 2010,Community planner; bike polo-ista; amateur photographer; happy traveler
canadamais,Vancouver Canada,Thu Feb 23 05:09:24 +0000 2012,Estudar inglês em Vancouver / Canadá #intercambio - #studyabroad #vancouver #canada
_Big_SAM,Vancouver; Canada,Tue Aug 23 05:38:28 +0000 2011,Do you ever wonder how the urban environment affects your health? I do.
